ReferenceArea,MEASURE,Measure,Age,Sex,UnitOfMeasure,TIME_PERIOD,OBS_VALUE
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,14.9
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,16
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,14.5
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,16.8
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,16.9
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,19.2
Luxembourg,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2022,20.3
Slovenia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2014,16.1
Slovenia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2019,12.2
Argentina,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2010,22.8
Argentina,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2015,20.8
Argentina,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2018,19.5
Argentina,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,19.1
Argentina,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2020,18.8
Peru,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2010,6.3
Peru,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2015,4.3
Peru,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2018,3.5
Peru,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,3.2
Peru,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2020,3
Poland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1229
Poland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1205
Costa Rica,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2010,9.3
Costa Rica,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2011,8.4
Costa Rica,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2012,7.5
Costa Rica,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2013,6.6
Costa Rica,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,5.8
Costa Rica,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2015,5.8
Costa Rica,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2016,5.9
Costa Rica,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2017,5.6
Costa Rica,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2018,5.3
Costa Rica,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,4.9
Costa Rica,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2020,4.6
Costa Rica,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2021,4.3
Costa Rica,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2022,3.8
Lithuania,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,18.6
Lithuania,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,18.6
Czechia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2010,36.8
Czechia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2011,33.3
Czechia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,37.1
Czechia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2013,37.1
Czechia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,26.1
Czechia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2015,26.7
Czechia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2016,20.3
Czechia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,21.2
Czechia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,18.6
Czechia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,19
Czechia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2020,18.2
Czechia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2021,18
Belgium,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,15.9
Belgium,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,14.8
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,19
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,19
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,18
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,17
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,14
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,16
Ireland,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2022,14
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,40.8
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2011,41.6
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2012,37.6
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2013,36.2
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2014,36.6
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,31.4
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,32.9
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2017,31.6
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,30.5
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,28.5
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,27.8
Korea,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2021,26.3
Ireland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2015,12
Ireland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2016,15
Ireland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2017,14
Ireland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2018,12
Ireland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2019,8
Ireland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2021,6
Ireland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2022,9
Denmark,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2010,15.6
Denmark,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2013,12.8
Denmark,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2017,14.2
Denmark,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2021,9.3
Bulgaria,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,19.9
Bulgaria,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,20.7
Finland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,14.3
Finland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,14
Finland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,14.3
Finland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,13.3
Finland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,14.1
Hungary,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,20.8
Hungary,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,22.3
Mexico,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2011,10.3
Mexico,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,11.8
Mexico,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,7.6
Mexico,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,6.4
Mexico,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,7.7
Mexico,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,7.4
Mexico,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,8.6
Portugal,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,10.9
Portugal,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,9
Colombia,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2013,18.8
Croatia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,23.2
Croatia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,21.8
Slovak Republic,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,22.7
Slovak Republic,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,19
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,10.5
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,10.3
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,9.8
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,9.4
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,10.7
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,10.4
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,10.5
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,10.2
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,9.7
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,9.9
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,10.1
Netherlands,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,9.8
India,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,14.7
India,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2015,10.9
India,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2018,9.1
India,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,8.6
India,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2020,8.1
Mexico,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2015,2.4
Portugal,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,18.1
Portugal,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,17.2
Chile,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,28.2
Chile,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,17.7
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1746.9
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1524.6
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1404.2
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1444.1
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1361.4
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1325.4
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1170.9
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1107.7
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1070.1
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,959.8
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,871.6
Greece,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,807.7
Poland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2014,28.8
Poland,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,20.8
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,12.7
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,12.8
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,12.7
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,12.1
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,12.1
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,11.6
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,11.6
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,11.5
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,11.1
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,11.1
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,10.9
Italy,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,11
Austria,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,24.3
Austria,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,20.6
Finland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,17.7
Finland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2011,13.2
Finland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,14.9
Finland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,10.2
Finland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,13.1
Finland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,15.8
Finland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,14
Finland,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,7
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2010,19.7
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2011,16
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,16.8
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2013,15.4
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,15.3
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2015,12.9
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2016,18.9
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,17.4
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,13.1
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,13.6
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2020,14.2
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2021,21
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2022,18.7
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,13
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2011,12.1
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,12.7
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,11.9
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,9.9
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,8.6
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,7.6
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,7.4
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,6.3
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,4.3
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,3.4
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,1.8
Australia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2010,11.8
Australia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2013,10.6
Australia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2016,8.3
Australia,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2019,6.4
Latvia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,14.6
Latvia,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,12.3
Lithuania,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,9.2
Lithuania,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,9.7
Denmark,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,20.9
Denmark,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,17
Denmark,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,16.9
Denmark,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,13.9
Costa Rica,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2010,16.1
Costa Rica,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2011,15.5
Costa Rica,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,15
Costa Rica,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2013,14.5
Costa Rica,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,13.9
Costa Rica,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2015,13.4
Costa Rica,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2016,11.9
Costa Rica,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,11
Costa Rica,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,10.2
Costa Rica,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,9.3
Costa Rica,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2020,8.4
Costa Rica,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2021,7.6
Costa Rica,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2022,9
Austria,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2014,23.8
Austria,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2019,14.4
Norway,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,19
Norway,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2011,17
Norway,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2012,16
Norway,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2013,15
Norway,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2014,14
Norway,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,13
Norway,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,13
Norway,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2017,12
Norway,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,12
Norway,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2019,9
Norway,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,9
Norway,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2021,6
Norway,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2022,7
Sweden,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,12.4
Sweden,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2011,12.3
Sweden,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,12.5
Sweden,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,11.2
Sweden,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,11.5
Sweden,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,9.1
Sweden,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,7.9
Sweden,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,10.7
Sweden,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,8.6
Sweden,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,7.1
Sweden,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,6.9
Sweden,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,8.6
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1004.4
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,955.3
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,854.8
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,804.8
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,739.4
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,702.4
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,643.9
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,591.2
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,446
United Kingdom,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,420.6
New Zealand,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,19.1
New Zealand,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,16.5
New Zealand,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,17.1
New Zealand,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,16.2
New Zealand,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,15.3
New Zealand,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,12.7
New Zealand,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,12.7
New Zealand,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,11.7
New Zealand,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,10.3
New Zealand,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,5.9
New Zealand,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2022,6.1
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2010,14
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2011,12.7
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2012,12.4
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2013,13.2
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2014,10.6
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2015,9.7
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2016,12.9
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2017,14.8
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2018,12.4
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2019,16.6
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2020,10.9
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2021,15
Luxembourg,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2022,13.4
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,2151
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,2131
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,2095
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,2054
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,2054
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1581
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1720
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1607
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1606
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1574
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,1592
Korea,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,1589
Brazil,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,12.5
Brazil,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2011,12.5
Brazil,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,8.5
Brazil,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,7.1
Brazil,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,7.8
Brazil,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,7.2
Brazil,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,7.4
Brazil,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,8.5
Brazil,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,6.7
Brazil,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,7.9
Brazil,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,7.1
Brazil,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,6.4
Israel,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,18.2
