ReferenceArea,UnitOfMeasure,Age,Sex,CANCER_SITE,CancerSite,TIME_PERIOD,OBS_VALUE
United Kingdom,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,7.1
Korea,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,7.6
Korea,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,22.4
Korea,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,30.3
South Africa,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,41.5
Canada,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,42.2
Canada,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,45.4
Canada,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,42.6
Brazil,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,186.8
Canada,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,7.7
Canada,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,6.6
Canada,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,6.3
Slovak Republic,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,319
Slovak Republic,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,320.2
Slovak Republic,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,338.2
Germany,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2000,53.6
Germany,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,60.5
Germany,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,82.7
Germany,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,77.3
Indonesia,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,14.8
India,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,7.2
China,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,7.5
New Zealand,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,37.3
New Zealand,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,29.6
New Zealand,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,29.2
Italy,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,59.4
Italy,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,58
Italy,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,45.4
Italy,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,38.5
Italy,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,35.3
Italy,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,39.3
Italy,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,45.2
Italy,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,41.5
Czechia,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,247.6
Czechia,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,252.5
Czechia,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,258.9
Norway,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,40.3
Norway,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,37.8
Norway,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,38.9
Slovak Republic,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,263
Slovak Republic,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,260.6
Slovak Republic,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,276.9
Denmark,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2000,86.2
Denmark,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,88.7
Denmark,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,89.1
Denmark,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,105
Netherlands,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,62
Netherlands,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,59.7
Netherlands,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,46.1
Netherlands,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,44.4
Latvia,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,325
Colombia,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,18.7
Belgium,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,76.4
Belgium,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,75.3
Belgium,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,58
Belgium,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,56.6
United States,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,36.1
United States,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,36.2
United States,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,33.7
Hungary,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,33.7
Hungary,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,30.3
Hungary,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,30.5
Colombia,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,51.3
Korea,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,17.9
Korea,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,10.8
Korea,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,9.5
Poland,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,48.3
Poland,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,40.5
Poland,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,38
Portugal,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2000,270.3
Portugal,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,284.6
Portugal,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,266.8
Portugal,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,306.3
Sweden,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2000,250.1
Sweden,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,251.8
Sweden,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,240.7
Sweden,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,248.7
Slovenia,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,65.5
Slovenia,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,66.5
Greece,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2000,20.2
Greece,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,26.2
Greece,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,17.7
Greece,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,20.2
Brazil,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,21.3
Korea,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,20.3
Korea,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,35.2
Korea,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,45
France,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,39.8
France,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,40.8
France,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,36
France,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,36.1
Belgium,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,43.8
Belgium,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,43.8
Belgium,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,35.3
Belgium,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,36.8
Luxembourg,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2000,69.3
Luxembourg,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,82.5
Luxembourg,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,82.3
Luxembourg,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,89.1
Norway,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,43.4
Norway,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,41.3
Norway,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,42.6
Poland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,27.7
Poland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,23.9
Poland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,27
Germany,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,38.5
Germany,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,39.3
Germany,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,35.5
Germany,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,30.9
Mexico,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,150
Mexico,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,126.2
Mexico,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,139.9
Israel,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,33.1
Israel,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,29.5
Indonesia,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,17.3
China,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,211.2
Japan,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,25.2
Japan,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,24.6
Japan,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,24.6
Luxembourg,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2000,271.2
Luxembourg,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,296.7
Luxembourg,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,284
Luxembourg,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,280.3
Latvia,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,82.7
Canada,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,31.6
Canada,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,32.4
Canada,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,34.4
Estonia,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,64.1
Estonia,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,48.2
Mexico,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,26.4
Mexico,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,27.2
Mexico,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,35.4
Spain,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2000,47.9
Spain,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,50.9
Spain,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,61
Spain,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,67.3
Austria,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,42.1
Austria,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,42.6
Austria,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,36
Austria,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,37.1
Poland,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,14.6
Poland,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,18.3
Poland,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,21.8
United States,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,124.8
United States,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,83.8
United States,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,98.2
Türkiye,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,26.5
Türkiye,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,26
Türkiye,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,34.7
Finland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,25.2
Finland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,25.5
Finland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,27.6
Finland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,28.2
Chile,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,13
Chile,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,15
Iceland,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,90
Iceland,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,86.2
Iceland,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,96.3
Portugal,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,24.3
Portugal,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,21.1
Portugal,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,24.1
Portugal,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,23.6
Germany,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2000,73.7
Germany,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,79.8
Germany,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,81.8
Germany,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,91.6
France,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,26.8
France,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,25.9
France,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,24.1
France,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,24.9
Chile,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,14.4
Chile,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,12.8
United States,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,33.1
United States,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,25
United States,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,22
United States,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,7.7
United States,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,5.7
United States,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,6.6
Latvia,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,52.1
Indonesia,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,136.2
Türkiye,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,4.5
Türkiye,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,4.2
Türkiye,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,4.3
Latvia,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,20.2
Costa Rica,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,179.3
Ireland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,36.5
Ireland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,35.1
Ireland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,36.1
Ireland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,34.9
Japan,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,12.3
Japan,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,13.3
Japan,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,12.9
Italy,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,24
Italy,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,26.6
Italy,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,29.9
Italy,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,27.5
Russia,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,187.1
Slovak Republic,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,41
Slovak Republic,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,42.1
Slovak Republic,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,42.7
Slovenia,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,264.8
Slovenia,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,296.3
Indonesia,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,12.8
Netherlands,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,30.4
Netherlands,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,30.8
Netherlands,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,31
Netherlands,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,33.9
Switzerland,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2000,247.3
Switzerland,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,284.6
Switzerland,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,269.3
Switzerland,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,287
Brazil,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,14.9
Colombia,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,7.1
Spain,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2000,166.3
Spain,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,179.1
Spain,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,187
Spain,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,198.2
Mexico,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,11.9
Mexico,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,9.4
Mexico,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,7.5
United Kingdom,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2000,234.3
United Kingdom,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,260.6
United Kingdom,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,249.5
United Kingdom,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,267.3
New Zealand,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,20.5
New Zealand,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,23.4
New Zealand,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,23.2
Luxembourg,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,34.1
Luxembourg,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,37.2
Luxembourg,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,32.9
Luxembourg,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,31.5
Czechia,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,58.4
Czechia,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,67.7
Czechia,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,70.3
Iceland,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,286.5
Iceland,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,290.4
Iceland,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,284.3
Chile,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,57.4
Chile,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,52.4
Poland,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,18.4
Poland,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,12.3
Poland,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,12.2
South Africa,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,168.9
Lithuania,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,224
Greece,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2000,225.1
Greece,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,234.9
Greece,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,187.6
Greece,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,194.8
Belgium,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,37.4
Belgium,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,37
Belgium,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,44
Belgium,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,45.2
United States,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,38.9
United States,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,29.2
United States,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,25
